dataset	seed	eval_split	table	n_rows	batch_nunique	other_nunique	cramers_v	normalized_mutual_information	max_cell_fraction
synth_genetic_anchor_lite	0	test_heldout_perturbation	batch_id_x_perturbation_id	270	3	12	0.0	0.0	0.03333333333333333
synth_genetic_anchor_lite	0	test_heldout_perturbation	batch_id_x_dose	270	3	1	0.0	0.0	0.3333333333333333
synth_genetic_anchor_lite	0	test_heldout_perturbation	batch_id_x_cell_line_id	270	3	3	0.0	0.0	0.1111111111111111
synth_genetic_anchor_lite	0	test_heldout_perturbation	batch_id_x_condition_key	270	3	36	0.0	0.0	0.011111111111111112
synth_genetic_anchor_lite	0	test_heldout_perturbation	batch_id_x_split	270	3	4	0.0	0.0	0.1
synth_genetic_anchor_lite	0	test_heldout_perturbation	batch_id_x_biological_key	270	3	36	0.0	0.0	0.011111111111111112
synth_genetic_anchor_lite	1	test_heldout_perturbation	batch_id_x_perturbation_id	270	3	12	0.0	0.0	0.03333333333333333
synth_genetic_anchor_lite	1	test_heldout_perturbation	batch_id_x_dose	270	3	1	0.0	0.0	0.3333333333333333
synth_genetic_anchor_lite	1	test_heldout_perturbation	batch_id_x_cell_line_id	270	3	3	0.0	0.0	0.1111111111111111
synth_genetic_anchor_lite	1	test_heldout_perturbation	batch_id_x_condition_key	270	3	36	0.0	0.0	0.011111111111111112
synth_genetic_anchor_lite	1	test_heldout_perturbation	batch_id_x_split	270	3	4	0.0	0.0	0.1
synth_genetic_anchor_lite	1	test_heldout_perturbation	batch_id_x_biological_key	270	3	36	0.0	0.0	0.011111111111111112
synth_genetic_anchor_lite	2	test_heldout_perturbation	batch_id_x_perturbation_id	270	3	12	0.0	0.0	0.03333333333333333
synth_genetic_anchor_lite	2	test_heldout_perturbation	batch_id_x_dose	270	3	1	0.0	0.0	0.3333333333333333
synth_genetic_anchor_lite	2	test_heldout_perturbation	batch_id_x_cell_line_id	270	3	3	0.0	0.0	0.1111111111111111
synth_genetic_anchor_lite	2	test_heldout_perturbation	batch_id_x_condition_key	270	3	36	0.0	0.0	0.011111111111111112
synth_genetic_anchor_lite	2	test_heldout_perturbation	batch_id_x_split	270	3	4	0.0	0.0	0.1
synth_genetic_anchor_lite	2	test_heldout_perturbation	batch_id_x_biological_key	270	3	36	0.0	0.0	0.011111111111111112
synth_batch_confound_lite	0	test	batch_id_x_perturbation_id	378	3	12	0.8850612031567835	0.4906800612011759	0.07142857142857142
synth_batch_confound_lite	0	test	batch_id_x_dose	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	0	test	batch_id_x_cell_line_id	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	0	test	batch_id_x_condition_key	378	3	108	0.8850612031567836	0.3013423540025786	0.007936507936507936
synth_batch_confound_lite	0	test	batch_id_x_split	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	0	test	batch_id_x_biological_key	378	3	108	0.8850612031567836	0.3013423540025786	0.007936507936507936
synth_batch_confound_lite	1	test	batch_id_x_perturbation_id	378	3	12	0.8850612031567835	0.4906800612011759	0.07142857142857142
synth_batch_confound_lite	1	test	batch_id_x_dose	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	1	test	batch_id_x_cell_line_id	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	1	test	batch_id_x_condition_key	378	3	108	0.8850612031567836	0.3013423540025786	0.007936507936507936
synth_batch_confound_lite	1	test	batch_id_x_split	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	1	test	batch_id_x_biological_key	378	3	108	0.8850612031567836	0.3013423540025786	0.007936507936507936
synth_batch_confound_lite	2	test	batch_id_x_perturbation_id	378	3	12	0.8850612031567835	0.4906800612011759	0.07142857142857142
synth_batch_confound_lite	2	test	batch_id_x_dose	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	2	test	batch_id_x_cell_line_id	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	2	test	batch_id_x_condition_key	378	3	108	0.8850612031567836	0.3013423540025786	0.007936507936507936
synth_batch_confound_lite	2	test	batch_id_x_split	378	3	3	0.0	0.0	0.11904761904761904
synth_batch_confound_lite	2	test	batch_id_x_biological_key	378	3	108	0.8850612031567836	0.3013423540025786	0.007936507936507936
