tar_file	member_name	normalized_image_id	size_bytes	typeflag	offset
crispr_screen_20240615_chunk_aa.tar	100000024761494857298569926110060627021.npz	100000024761494857298569926110060627021	78611	0	0
crispr_screen_20240615_chunk_aa.tar	100000235360096190881752765667944812208.npz	100000235360096190881752765667944812208	94424	0	79360
crispr_screen_20240615_chunk_aa.tar	100000238608830404563000561053135801800.npz	100000238608830404563000561053135801800	39305	0	174592
crispr_screen_20240615_chunk_aa.tar	100000251864987355764392889221243415948.npz	100000251864987355764392889221243415948	131842	0	214528
crispr_screen_20240615_chunk_aa.tar	100000364886166220073588621151611719403.npz	100000364886166220073588621151611719403	146901	0	347136
crispr_screen_20240615_chunk_aa.tar	100000489918494630920482672582203866452.npz	100000489918494630920482672582203866452	87602	0	494592
crispr_screen_20240615_chunk_aa.tar	100000830185540017450374120249317817068.npz	100000830185540017450374120249317817068	67630	0	583168
crispr_screen_20240615_chunk_aa.tar	100000943623197467400129996971617948926.npz	100000943623197467400129996971617948926	146320	0	651776
crispr_screen_20240615_chunk_aa.tar	100001002088337103064787413928026615920.npz	100001002088337103064787413928026615920	52242	0	798720
crispr_screen_20240615_chunk_aa.tar	100001212342975985766672256078858246231.npz	100001212342975985766672256078858246231	132698	0	851968
crispr_screen_20240615_chunk_aa.tar	100001414326317306961335389448996832749.npz	100001414326317306961335389448996832749	36421	0	985600
crispr_screen_20240615_chunk_aa.tar	100001546057789672196375941637678957774.npz	100001546057789672196375941637678957774	265143	0	1022976
crispr_screen_20240615_chunk_aa.tar	100001686499937634276896147819564186281.npz	100001686499937634276896147819564186281	32364	0	1288704
crispr_screen_20240615_chunk_aa.tar	10000193181701322695309738112087928187.npz	10000193181701322695309738112087928187	65831	0	1321984
crispr_screen_20240615_chunk_aa.tar	100001942800326932781211362742756254304.npz	100001942800326932781211362742756254304	42235	0	1388544
crispr_screen_20240615_chunk_aa.tar	100002086081481261348637268776090156999.npz	100002086081481261348637268776090156999	49244	0	1431552
crispr_screen_20240615_chunk_aa.tar	100002158983656557713946336365906233077.npz	100002158983656557713946336365906233077	49212	0	1481728
crispr_screen_20240615_chunk_aa.tar	100002171017808260700432409854902357432.npz	100002171017808260700432409854902357432	52503	0	1531904
crispr_screen_20240615_chunk_aa.tar	100002397297103439076661068531401716607.npz	100002397297103439076661068531401716607	137784	0	1585152
crispr_screen_20240615_chunk_aa.tar	10000240839447879029459481488857114886.npz	10000240839447879029459481488857114886	131470	0	1723904
crispr_screen_20240615_chunk_aa.tar	100002424758241549788675760516472008713.npz	100002424758241549788675760516472008713	125214	0	1856000
crispr_screen_20240615_chunk_aa.tar	100002458675617662638340714365486933795.npz	100002458675617662638340714365486933795	107046	0	1981952
crispr_screen_20240615_chunk_aa.tar	100002511045558835134046828010596331456.npz	100002511045558835134046828010596331456	39419	0	2089984
crispr_screen_20240615_chunk_aa.tar	100002870715850289911255154142104074127.npz	100002870715850289911255154142104074127	42797	0	2129920
crispr_screen_20240615_chunk_aa.tar	10000289466246380601229747508165581780.npz	10000289466246380601229747508165581780	95803	0	2173440
crispr_screen_20240615_chunk_aa.tar	100002960673790437723041482723357693510.npz	100002960673790437723041482723357693510	138787	0	2270208
