probe	split	modality	row	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
oracle_true_z_bio	train	rna	0	0.11230931431055069	-0.08941888064146042	0.4471231997013092	0.07961482554674149	-0.3151206374168396	0.2642368972301483	0.8568676114082336	0.5871608257293701	-0.4492526352405548	-0.8344404101371765	-0.4077979326248169	0.038111548870801926	-1.4990978240966797	-0.15030430257320404	-0.8272438049316406	-0.4663684070110321
oracle_true_z_bio	train	rna	1	0.07910801470279694	-0.12729176878929138	0.43658247590065	0.07820016145706177	-0.3268352746963501	0.22490756213665009	0.9005511403083801	0.6348816752433777	-0.4227527379989624	-0.8008528351783752	-0.4167962074279785	0.004836526233702898	-1.5222822427749634	-0.11572962999343872	-0.8202840685844421	-0.4792051315307617
oracle_true_z_bio	train	rna	2	-0.3791900873184204	-0.2007070779800415	0.2813225984573364	0.6671295166015625	-0.07434866577386856	0.9416665434837341	-0.3807952105998993	0.32407763600349426	0.5985832810401917	0.09126482158899307	-0.5246897339820862	-0.6231120824813843	-0.26372525095939636	0.12319532781839371	-0.5920491218566895	-0.09318047016859055
oracle_true_z_bio	train	rna	3	-0.34289464354515076	-0.17643727362155914	0.2211446911096573	0.6771633625030518	-0.08274903893470764	0.8668537735939026	-0.40750715136528015	0.21967460215091705	0.6102843284606934	0.02582145296037197	-0.5223463773727417	-0.5811933279037476	-0.35187315940856934	0.15552851557731628	-0.6833030581474304	-0.13154634833335876
oracle_true_z_bio	train	rna	4	0.13588684797286987	-0.12382993847131729	0.4549206793308258	0.03723054751753807	-0.3481413424015045	0.25816646218299866	0.8471968770027161	0.6444846987724304	-0.463366836309433	-0.8197911381721497	-0.4363414943218231	-0.034221552312374115	-1.4392343759536743	-0.1390129178762436	-0.8512354493141174	-0.46250057220458984
oracle_true_z_bio	train	rna	5	0.08010902255773544	-0.05064396187663078	0.4609973728656769	0.061192382127046585	-0.35680797696113586	0.22036516666412354	0.8381378054618835	0.6233225464820862	-0.4370086193084717	-0.8532619476318359	-0.4762347936630249	0.04439707100391388	-1.5293302536010742	-0.1878775805234909	-0.7733424305915833	-0.4685070216655731
oracle_true_z_bio	train	rna	6	-0.34917569160461426	-0.2588239908218384	0.27550265192985535	0.728537380695343	-0.07250940054655075	0.9029513001441956	-0.4678800106048584	0.2719391882419586	0.5981356501579285	0.031128516420722008	-0.49570223689079285	-0.5804293155670166	-0.2730045020580292	0.14424946904182434	-0.6878595352172852	-0.15049058198928833
oracle_true_z_bio	train	rna	7	-0.35754695534706116	-0.18171514570713043	0.2178998589515686	0.7026945948600769	-0.09701099246740341	0.854699432849884	-0.4421859681606293	0.23310315608978271	0.5724959969520569	-0.007641546428203583	-0.4040757715702057	-0.5800999999046326	-0.2908218204975128	0.10217700153589249	-0.6441114544868469	-0.09235251694917679
oracle_true_z_bio	train	rna	8	0.043308939784765244	-0.04365885257720947	0.508368968963623	-0.010564719326794147	-0.25724074244499207	0.28874680399894714	0.9069913029670715	0.7372902035713196	-0.3738262355327606	-0.7458252310752869	-0.4268307387828827	-0.12928493320941925	-1.5183734893798828	-0.26325124502182007	-0.9277799725532532	-0.45215511322021484
oracle_true_z_bio	train	rna	9	0.0656818225979805	-0.08514665812253952	0.40018388628959656	0.03403953090310097	-0.24072523415088654	0.29483354091644287	0.9259262681007385	0.7007272839546204	-0.3626239001750946	-0.7722980380058289	-0.3872048854827881	-0.01913752779364586	-1.5197539329528809	-0.22216849029064178	-0.9708840847015381	-0.4446214735507965
