round	rna_path	rna_size_bytes	image_path	image_size_bytes	paired_size_bytes
round_2	features/rnaseq/scvi/n200/round_2.h5ad	2565764148	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	13589664651
round_2	features/rnaseq/scvi/n200/round_2.h5ad	2565764148	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	16328661899
round_2	features/rnaseq/geneformer/round_2.h5ad	9195433072	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	20219333575
round_2	features/rnaseq/scvi/scvi_1/round_2.h5ad	10176230692	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	21200131195
round_2	features/rnaseq/scvi/scvi_2/round_2.h5ad	10176230692	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	21200131195
round_2	features/rnaseq/scgpt/round_2.h5ad	10408144396	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	21432044899
round_2	features/rnaseq/UCE/4layer/round_2.h5ad	10788867496	features/imaging/imagenet/vit-l/round_2.h5ad	11023900503	21812767999
round_1	features/rnaseq/scvi/n200/round_1.h5ad	4366952116	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	22873400220
round_2	features/rnaseq/geneformer/round_2.h5ad	9195433072	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	22958330823
round_2	features/rnaseq/scvi/scvi_1/round_2.h5ad	10176230692	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	23939128443
round_2	features/rnaseq/scvi/scvi_2/round_2.h5ad	10176230692	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	23939128443
round_2	features/rnaseq/scgpt/round_2.h5ad	10408144396	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	24171042147
round_2	features/rnaseq/scvi/n200/round_2.h5ad	2565764148	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	24545653643
round_2	features/rnaseq/scvi/n200/round_2.h5ad	2565764148	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	24545653643
round_2	features/rnaseq/UCE/4layer/round_2.h5ad	10788867496	features/imaging/imagenet/vit-h/round_2.h5ad	13762897751	24551765247
round_1	features/rnaseq/scvi/n200/round_1.h5ad	4366952116	features/imaging/imagenet/vit-h/round_1.h5ad	23107251432	27474203548
round_2	features/rnaseq/geneformer/round_2.h5ad	9195433072	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	31175322567
round_2	features/rnaseq/geneformer/round_2.h5ad	9195433072	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	31175322567
round_2	features/rnaseq/scvi/scvi_1/round_2.h5ad	10176230692	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	32156120187
round_2	features/rnaseq/scvi/scvi_1/round_2.h5ad	10176230692	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	32156120187
round_2	features/rnaseq/scvi/scvi_2/round_2.h5ad	10176230692	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	32156120187
round_2	features/rnaseq/scvi/scvi_2/round_2.h5ad	10176230692	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	32156120187
round_2	features/rnaseq/scgpt/round_2.h5ad	10408144396	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	32388033891
round_2	features/rnaseq/scgpt/round_2.h5ad	10408144396	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	32388033891
round_2	features/rnaseq/UCE/4layer/round_2.h5ad	10788867496	features/imaging/imagenet/resnet152/round_2.h5ad	21979889495	32768756991
round_2	features/rnaseq/UCE/4layer/round_2.h5ad	10788867496	features/imaging/imagenet/resnet50/round_2.h5ad	21979889495	32768756991
round_1	features/rnaseq/geneformer/round_1.h5ad	15593619472	features/imaging/imagenet/vit-l/round_1.h5ad	18506448104	34100067576
